A bridge under construction between Russia and Crimea, which Moscow annexed from Ukraine in 2014, would help develop commercial and humanitarian links between the two countries once relations improved.	The construction of the Kerch Strait Bridge to Crimea will contribute not only to the development of tourism, but also to Crimea's economy and will be particularly useful after the normalization of relations between Russia and Ukraine.																					
A dedicated team of more than 1,000 Amazon engineers were contributing development resources to Alexa.	Amazon, already a leader in cloud, now has 1,000 people working on its Alexa platform.	More than 1,000 people were working on Alexa's technology and that he believes Alexa will become the fourth pillar of Amazon's business.	More than 1,000 members of Amazon's software team are contributing to Alexa's ongoing development.																			
A man who can be provoked by a tweet should not have his fingers anywhere near the nuclear codes.	It would be a mistake to hand the US nuclear codes over to a man who could be "baited with a tweet."	Nuclear weapons shouldn't be in the hands of "a man you can bait with a tweet."	A man you can bait with a tweet is not a man we can trust with nuclear weapons.																			
Apple hasn't given up on the desktop.	Apple still loves desktop computers.	Apple is indeed still working on the desktop.	The company has no plans to leave the desktop business.																			
AWS is on track this year to reach $10 billion in annual sales.	He expects AWS to reach $10 billion in annual revenue this year.	AWS is reaching $10 billion in sales this year.																				
Did China ask us if it was O.K. to devalue their currency (making it hard for our companies to compete), heavily tax our products going into their country (the U.S. doesn't tax them), or to build a massive military complex in the middle of the South China Sea? I don't think so!	Did China ask us if it was OK to devalue their currency, heavily tax our products going into their country or to build a massive military complex in the middle of the South China Sea? I don't think so!. "Interesting how the U.S. sells Taiwan billions of dollars of military equipment but I should not accept a congratulatory call".																					
Germany needs to make a national effort to deport migrants who were refused asylum.	Germany needed to make a national effort to deport migrants who do not have the right to stay in the country.																					
Great desktops are coming.	Great desktops are expected to arrive soon.	New desktops are finally on the way.																				
He would not be running for a second term.	He would not seek a second term.	He wouldn't be seeking a second term as president.	He wouldn't stand for re-election in France after just one term.	He would bow out of the presidency after a single term.																		
His country was "extremely against" anyone other than the UK Government negotiating Brexit. "If the UK leaves... Scotland leaves".	If the U.K. leaves, so does Scotland. The Spanish government rejects any negotiation with anyone other than the U.K. I'm radically against it, the treaties are radically against it, and I think everyone else is radically against it.	Spain opposes any negotiation by anyone other than the government of United Kingdom. "I am extremely against it, the treaties are extremely against it and I believe everyone is extremely against it. If the United Kingdom leaves... Scotland leaves".	If the UK goes, Scotland goes. The Spanish government is against negotiations with anyone apart from the UK government.																			
I don't think anybody knows it was Russia that broke into the DNC. She's saying, 'Russia, Russia, Russia.' but I don't – maybe it was. It could also be China. It could also be lots of other people. It also could be somebody sitting on their bed that weighs 400 pounds, OK?	It could be Russia. And it could be China. And it could be some guy in his home in New Jersey. I believe that it could have been Russia and it could have been any one of many other people.																					
I don't want China dictating to me. "Why should some other nation be able to say I can't take a call? I think it actually would've been very disrespectful, to be honest with you, not taking it".	I don't want China dictating to me and this was a call put into me .. It was a very nice call. Short. And why should some other nation be able to say I can't take a call ... I think it actually would've been very disrespectful, to be honest with you, not taking it.																					
If she knew what changes ordinary Germans wanted to her liberal migrant policy, she would be prepared to think about them.	If she knew how people wanted her to change her migrant policy she would consider it.																					
It's sealed a deal to sell 100 jets to Iran, less than two weeks after American rival Boeing inked a similar contract.	It has secured a multi-billion contract with Iran's national airline, Iran Air, for 100 aircraft.	It has signed a firm contract with Iran Air for 100 aircraft.	It would sell 100 planes to Iran Air, the country's flag carrier.																			
Madrid would oppose any separate deal for Scotland.	Madrid would oppose any special Brexit deal for Scotland.																					
Mr. Comey's decision to release the letter was one of two "unprecedented" events that led to her defeat.	Comey's pre-election bombshell was a primary reason for her stunning defeat by Donald Trump.	Comey's decision to disclose a fresh investigation less than two weeks before the election helped cause her defeat.	Comey's decision to reopen the probe into her emails are to blame for her loss to Donald Trump.																			
Our competitors have also raised enormous amount of capital, we have operations globally and we bring capital for our global operations. "At the end of the day both companies have taken so much investments that vast majority of my company as well as vast majority of Ola is foreign now".	Our competitors have also raised enormous amount of capital, we have operations globally and we bring capital for our global operations. "At the end of the day both companies have taken so much investments that vast majority of my company as well as vast majority of Ola is foreign now".																					
Russia does not intend to cut relations with Ukraine.	Russia deems it vital to restore economic relations with Ukraine.																					
She believes that Putin was involved in the hack of the Democratic National Committee because of a longtime grudge he has held against her.	Putin ordered the hacks due to a "personal beef" against her.	The attacks against her during the electoral campaign of 2016 had been a kind of personal revenge by Putin for the events of five years before.	Putin targeted her for reasons of personal revenge.																			
She expects 100,000 migrants to leave Germany this year – with a third forcibly removed.	She expects to deport 100, 000 migrants from Germany next year, in a sharp reversal of policy.	She will send 100, 000 migrants back to war-torn countries after finally admitting Germany is struggling to cope.																				
She expects three more rate hikes in 2017.	She sees three rate hikes in 2017, in what has been interpreted as a vote of confidence in the US economy.																					
She would do things differently if she could go back again and prepare better to cope with the influx of around one million migrants who flooded into Germany last year, many of them fleeing conflicts in the Middle East and beyond.	She would do things differently if it were possible to go back in time and rethink its approach to the roughly one million migrants who entered Germany over the past year, many of them fleeing conflicts in Syria, Iraq and beyond.																					
The clean energy superpower of the 21st Century could be China, Germany, or us, and I want it to be us.	The clean energy super power of the 21st Century is probably going to be either Germany, China, or us, and I want it to be us.	The clean energy superpower of the 21st century are probably going to be either Germany, China, or us, and I want it to be us. And I want you to be part of making it us.																				
The defence budget has increased during his term.	The defence budget has been raised throughout his term.																					
The Minsk agreement is the basis for Ukraine solution.	Minsk accord should be basis for Ukraine solution.	The Minsk accord should be used as the basis for resolving the Ukraine crisis.	The Minsk accords remained the best path towards a lasting resolution to war in eastern Ukraine.																			
